mpl
Pressure, Altitude, Temperature
85658.25, 1467.3348897535668, 19.5625
85660.75, 1467.1473868925002, 19.625
85662.0, 1467.0848859388113, 19.625
85662.75, 1467.209887846189, 19.625
85664.0, 1467.5223926146334, 19.625
85660.5, 1467.5223926146334, 19.625
85661.0, 1467.272388799878, 19.625
85658.25, 1467.3348897535668, 19.625
85661.0, 1467.3348897535668, 19.6875
85664.5, 1467.3973907072557, 19.6875
85660.25, 1467.272388799878, 19.6875
85664.0, 1467.1473868925002, 19.6875
85661.5, 1467.5223926146334, 19.6875
85662.25, 1467.272388799878, 19.6875
85662.5, 1467.5848935683223, 19.6875
85656.25, 1467.3973907072557, 19.6875
85661.5, 1467.6473945220112, 19.6875
85660.5, 1467.5848935683223, 19.6875
85662.5, 1467.3973907072557, 19.6875
85659.25, 1467.772396429389, 19.6875
85660.75, 1467.7098954757, 19.6875
85660.75, 1467.7098954757, 19.6875
85658.0, 1467.5848935683223, 19.75
85658.75, 1467.6473945220112, 19.75
85658.75, 1467.8973983367666, 19.75
85659.75, 1467.8348973830778, 19.75
85656.5, 1467.772396429389, 19.75
85661.5, 1467.6473945220112, 19.75
85658.0, 1467.5848935683223, 19.75
85659.0, 1467.7098954757, 19.75
